# 2nd no 3d law
#108
#	2.531844
1	2.474853 1.02303
2	2.465587 1.02687
4	3.822267 0.662393
6	6.210440 0.407675
8	8.253742 0.306751
10	9.900995 0.255716
12	6.758168 0.374635
14	13.420198 0.188659
