# small f array S-R
#108
#	3.363800
1	3.320600 1.01301
2	1.748400 1.92393
4	0.946200 3.55506
6	0.737800 4.55923
8	0.621200 5.415
10	0.622300 5.40543
12	0.624500 5.38639
14	0.581000 5.78967
