# second version: Reduce
# 2916
#	61.907059
1	61.123558 1.01282
2	32.360481 1.91305
4	16.495348 3.753
6	11.633303 5.32154
8	9.180669 6.7432
10	7.678474 8.06242
12	6.853642 9.03272
14	5.962333 10.383
