# 2nd no 3d law
# 2916
#	90.509101
1	86.553702 1.0457
2	45.494449 1.98945
4	24.565472 3.6844
6	17.824673 5.07774
8	14.105246 6.4167
10	11.874413 7.6222
12	10.232650 8.84513
14	8.962288 10.0989
