#1 atomic updates
#2916
# 40.063846
1	47.759430 0.838868
2	36.331244 1.10274
4	23.218421 1.72552
6	17.515474 2.28734
8	14.401171 2.78199
10	12.528961 3.1977
12	10.999838 3.64222
14	9.916813 4.03999
